fecha_registro,id_planta,id_maquina,id_formula,numero_orden,corriente,temp_acond,presion_vapor,vapor,porcentaje_vapor,tiempo_proceso,retornando,humedad_real,durabilidad_real,kw_h_proceso
2026-03-12 20:50:25.231,2,304,3346,66024,276.113,75.291,24.935,378,28.797948073701843,0,0,0.0,26.37030618927973,36
2026-03-12 20:51:25.231,2,304,3346,66024,282.131,73.27600000000001,25.065,405,28.797948073701843,0,0,0.0,26.37030618927973,39
2026-03-12 20:52:25.231,2,304,3346,66024,373.763,72.763,25.0,403,28.797948073701843,0,0,0.0,26.37030618927973,43
2026-03-12 20:53:25.231,2,304,3346,66024,199.781,83.463,27.355,1,28.797948073701843,0,0,0.0,26.37030618927973,46
2026-03-12 20:54:25.231,2,304,3346,66024,136.669,72.074,27.548,2,28.797948073701843,0,0,0.0,26.37030618927973,48
2026-03-12 20:55:25.231,2,304,3346,66024,293.981,69.271,24.794,2,28.797948073701843,0,0,0.0,26.37030618927973,50
2026-03-12 20:56:25.231,2,304,3346,66024,347.663,68.658,24.935,336,28.797948073701843,0,0,0.0,26.37030618927973,54
2026-03-12 20:57:25.231,2,304,3346,66024,223.594,66.655,24.852,414,28.797948073701843,0,0,0.0,26.37030618927973,57
2026-03-12 20:58:25.231,2,304,3346,66024,215.719,72.963,24.806,411,28.797948073701843,0,0,0.0,26.37030618927973,59
2026-03-12 20:59:25.231,2,304,3346,66024,275.25,72.375,24.884,412,28.797948073701843,0,0,0.0,26.37030618927973,62
2026-03-12 21:00:25.231,2,304,3346,66024,305.194,69.459,24.923,413,28.797948073701843,0,0,0.0,26.37030618927973,65
2026-03-12 21:01:25.231,2,304,3346,66024,279.113,68.157,24.858,410,28.797948073701843,0,0,0.0,26.37030618927973,69
2026-03-12 21:02:25.231,2,304,3346,66024,284.288,67.582,24.948,412,28.797948073701843,0,0,0.0,26.37030618927973,72
2026-03-12 21:03:25.231,2,304,3346,66024,283.519,67.394,24.935,410,28.797948073701843,0,0,0.0,26.37030618927973,75
2026-03-12 21:04:25.231,2,304,3346,66024,273.563,67.156,25.013,409,28.797948073701843,0,0,0.0,26.37030618927973,78
2026-03-12 21:05:25.231,2,304,3346,66024,265.594,67.456,24.942,410,28.797948073701843,0,0,0.0,26.37030618927973,82
2026-03-12 21:06:25.231,2,304,3346,66024,270.544,67.556,24.987,410,28.797948073701843,0,0,0.0,26.37030618927973,88
2026-03-12 21:07:25.231,2,304,3346,66024,211.65,69.959,25.052,411,28.797948073701843,0,0,0.0,26.37030618927973,90
2026-03-12 21:08:25.231,2,304,3346,66024,298.65,74.077,25.148,431,28.797948073701843,0,0,0.0,26.37030618927973,96
2026-03-12 21:09:25.231,2,304,3346,66024,271.013,72.763,25.161,445,28.797948073701843,0,0,0.0,26.37030618927973,99
2026-03-12 21:10:25.231,2,304,3346,66024,266.925,73.063,25.168,440,28.797948073701843,0,0,0.0,26.37030618927973,102
2026-03-12 21:11:25.231,2,304,3346,66024,281.213,73.15100000000001,25.148,525,28.797948073701843,0,0,0.0,26.37030618927973,106
2026-03-12 21:12:25.231,2,304,3346,66024,261.056,75.46600000000001,25.226,524,28.797948073701843,0,0,0.0,26.37030618927973,112
2026-03-12 21:13:25.231,2,304,3346,66024,264.675,76.36699999999999,25.161,525,28.797948073701843,0,0,0.0,26.37030618927973,115
2026-03-12 21:14:25.231,2,304,3346,66024,252.938,77.168,25.174,523,28.797948073701843,0,0,0.0,26.37030618927973,118
2026-03-12 21:15:25.231,2,304,3346,66024,147.713,86.254,27.542,2,28.797948073701843,0,0,0.0,26.37030618927973,123
2026-03-12 21:16:25.231,2,304,3346,66024,144.356,84.477,27.852,2,28.797948073701843,0,0,0.0,26.37030618927973,124
2026-03-12 21:17:25.231,2,304,3346,66026,140.55,81.07300000000001,27.865,1,28.797948073701843,0,0,0.0,26.37030618927973,1
2026-03-12 21:18:25.231,2,304,3346,66026,259.875,72.074,25.168,534,28.797948073701843,0,0,0.0,26.37030618927973,4
2026-03-12 21:19:25.231,2,304,3346,66026,242.363,76.054,25.232,530,28.797948073701843,0,0,0.0,26.37030618927973,7
2026-03-12 21:20:25.231,2,304,3346,66026,251.85,77.706,25.232,530,28.797948073701843,0,0,0.0,26.37030618927973,9
2026-03-12 21:21:25.231,2,304,3346,66026,266.456,77.656,25.232,526,28.797948073701843,0,0,0.0,26.37030618927973,12
2026-03-12 21:22:25.231,2,304,3346,66026,258.188,77.681,25.265,528,28.797948073701843,0,0,0.0,26.37030618927973,15
2026-03-12 21:23:25.231,2,304,3346,66026,263.869,77.656,25.258,526,28.797948073701843,0,0,0.0,26.37030618927973,18
2026-03-12 21:24:25.231,2,304,3346,66026,260.269,77.456,25.2,532,28.797948073701843,0,0,0.0,26.37030618927973,21
2026-03-12 21:25:25.231,2,304,3346,66026,258.206,78.257,25.2,586,28.797948073701843,0,0,0.0,26.37030618927973,24
2026-03-12 21:26:25.231,2,304,3346,66026,269.681,78.882,25.206,584,28.797948073701843,0,0,0.0,26.37030618927973,27
2026-03-12 21:27:25.231,2,304,3346,66026,258.863,79.07,25.2,584,28.797948073701843,0,0,0.0,26.37030618927973,30
